title_ko,title_en,author,style,upload_date
,The Good Son: Jeong You-jeong,,summary+video,2026-02-13
이처럼 사소한 것들: 클레어 키건,Small Things Like These,,summary+video,2026-02-12
,Small Things Like These: Claire Keegan,,summary+video,2026-02-12
,World Short Stories: The Happy Prince & More,,summary+video,2026-02-11
쇼펜하우어의 아포리즘: 아르투어 쇼펜하우어,소품과 부록,,summary+video,2026-02-11
"세계의 단편: 귀여운 여인, 행복한 왕자 外",예언한 미래가 현실이 되었다,,summary+video,2026-02-11
,Aphorisms on the Wisdom of Life: Arthur Schopenhauer,,summary+video,2026-02-11
모비딕,Moby-Dick,Herman Melville,ildangbaek,2026-02-10
,The Shift: Wayne Dyer,,summary+video,2026-02-10
목민심서,Mokminsimseo,정약용,ildangbaek,2026-02-09
,The Midnight Library: Matt Haig,,summary+video,2026-02-08
금병매,Jin Ping Mei,난릉 소소생,ildangbaek,2026-02-08
미드나잇 라이브러리: 매트 헤이그,The Midnight Library,,summary+video,2026-02-08
나는 고양이로소이다,I_Am_a_Cat,Natsume Soseki,ildangbaek,2026-02-07
까르마조프가의 형제들: 도스토옙스키,The Brothers Karamazov,,summary+video,2026-02-07
,The Brothers Karamazov: Fyodor Dostoevsky,,summary+video,2026-02-07
,No Longer Human: Osamu Dazai,,summary+video,2026-02-06
데미안,Demian,Hermann Hesse,ildangbaek,2026-02-06
인간 실격: 다자이 오사무,No Longer Human,,summary+video,2026-02-06
도둑맞은 집중력: 요한 하리,Stolen Focus,,summary+video,2026-02-05
,Stolen Focus: Johann Hari,,summary+video,2026-02-05
예루살렘의 아이히만,Eichmann in Jerusalem,Hannah Arendt,ildangbaek,2026-02-05
열하일기,Yolha Ilgi,Park Jiwon,ildangbaek,2026-02-04
,Why Fish Don't Exist: Lulu Miller,,summary+video,2026-02-04
물고기는 존재하지 않는다: 룰루 밀러,Why Fish Don't Exist,,summary+video,2026-02-04
,The Singularity Is Near: Ray Kurzweil,,summary+video,2026-02-03
걸리버 여행기,Gulliver's Travels,Jonathan Swift,ildangbaek,2026-02-03
특이점이 온다: 레이 커즈와일,The Singularity Is Near,,summary+video,2026-02-03
이방인,The Stranger,알베르 카뮈,ildangbaek,2026-02-02
,Dopamine Nation: Anna Lembke,,summary+video,2026-02-02
도파민네이션: 애나 렘키,Dopamine Nation,,summary+video,2026-02-02
노인과 바다: 어니스트 헤밍웨이,The Old Man and the Sea,,summary+video,2026-02-01
,The Old Man and the Sea: Ernest Hemingway,,summary+video,2026-02-01
,Poe Horror Stories & Songryeong,,ildangbaek,2026-02-01
프로테스탄티즘의 윤리와 자본주의 정신 | [Korean] Protestant Ethic & Capitalism,,,ildangbaek,2026-01-31
,Protestant Ethic & Capitalism,,ildangbaek,2026-01-31
오다세이아,,,ildangbaek,2026-01-30
,The Odyssey,,ildangbaek,2026-01-30
슬픈 열대,,,ildangbaek,2026-01-29
,Tristes Tropiques,,ildangbaek,2026-01-29
햄릿 & 로미오와 줄리엣,,,ildangbaek,2026-01-28
,Hamlet & Romeo and Juliet,,ildangbaek,2026-01-28
"안데르센,그림 형제,페로 동화",,,ildangbaek,2026-01-27
,"Andersen, Grimm Brothers, Perrault Fairy Tales",,ildangbaek,2026-01-27
,Norwegian Wood,,ildangbaek,2026-01-26
상실의 시대,,,ildangbaek,2026-01-26
,Ilyeon's Samguk Yusa,,ildangbaek,2026-01-25
일연 삼국유사,,,ildangbaek,2026-01-25
과학혁명의 구조,,,ildangbaek,2026-01-24
,The_Structure_of_Scientific_Revolutions,,ildangbaek,2026-01-24
,The Square,,ildangbaek,2026-01-23
광장,,,ildangbaek,2026-01-23
파리대왕,,,ildangbaek,2026-01-22
,Lord of the Flies,,ildangbaek,2026-01-22
무기여 잘 있거라,,,ildangbaek,2026-01-21
,A Farewell to Arms,,ildangbaek,2026-01-21
,Good_Morning_Midnight,,ildangbaek,2026-01-20
,Cosmos,,ildangbaek,2026-01-20
코스모스,,,ildangbaek,2026-01-20
굿모닝 미드나잇,,,ildangbaek,2026-01-20
싯다르타,,,ildangbaek,2026-01-19
,Siddhartha,,ildangbaek,2026-01-19
,Stoner,,ildangbaek,2026-01-18
스토너,,,ildangbaek,2026-01-18
,Essays,,ildangbaek,2026-01-17
몽테뉴 수상록,,,ildangbaek,2026-01-17
,Jane Eyre,,ildangbaek,2026-01-16
제인 에어,,,ildangbaek,2026-01-16
차라투스트라는 이렇게 말했다,,,ildangbaek,2026-01-12
,Thus Spoke Zarathustra,,ildangbaek,2026-01-12
젊은 베르테르의 슬픔,,,ildangbaek,2026-01-11
,The Sorrows of Young Werther,,ildangbaek,2026-01-11
,Frankenstein,,ildangbaek,2026-01-10
프랑켄슈타인,,,ildangbaek,2026-01-10
설국,,,ildangbaek,2026-01-09
,Snow Country,,ildangbaek,2026-01-09
,No Excuses!: The Power of Self-Discipline,,ildangbaek,2026-01-08
행동하지 않으면 인생은 바뀌지 않는다,,,ildangbaek,2026-01-08
,"Thinking, Fast and Slow",,ildangbaek,2026-01-07
랜덤워크에 속지 마라,,,ildangbaek,2026-01-06
,Fooled by Randomness,,ildangbaek,2026-01-06
,Meditations,,ildangbaek,2026-01-05
명상록,,,ildangbaek,2026-01-05
,The Almanack of Naval Ravikant,,ildangbaek,2026-01-04
네이벌 라비칸트 연감,,,ildangbaek,2026-01-04
공자 논어,,,ildangbaek,2026-01-18
노인과 바다,,어니스트 헤밍웨이,summary,2026-02-01
,The Old Man and the Sea,Ernest Hemingway,summary,2026-02-01
에드거 앨런 포 공포 단편 & 포송령 콜라보,,,ildangbaek,2026-02-01
이방인: 알베르 카뮈,,,ildangbaek,2026-02-02
,Dopamine Nation,Anna Lembke,summary,2026-02-02
,The Stranger: Albert Camus,,ildangbaek,2026-02-02
도파민네이션,,애나 렘키,summary,2026-02-02
,The Singularity Is Near,Ray Kurzweil,summary,2026-02-03
,Gulliver's Travels: Jonathan Swift,,ildangbaek,2026-02-03
걸리버 여행기: 조너던 스위프트,,,ildangbaek,2026-02-03
특이점이 온다,,레이 커즈와일,summary,2026-02-03
,Why Fish Don't Exist,Lulu Miller,summary,2026-02-04
열하일기: 박지원,,,ildangbaek,2026-02-04
,Yolha Ilgi: Park Jiwon,,ildangbaek,2026-02-04
물고기는 존재하지 않는다,,룰루 밀러,summary,2026-02-04
예루살렘의 아이히만: 한나 아렌트,,,ildangbaek,2026-02-05
도둑맞은 집중력,,요한 하리,summary,2026-02-05
,Eichmann in Jerusalem: Hannah Arendt,,ildangbaek,2026-02-05
,Stolen Focus,Johann Hari,summary,2026-02-05
,No Longer Human,Osamu Dazai,summary,2026-02-06
,Demian: Hermann Hesse,,ildangbaek,2026-02-06
인간 실격,,다자이 오사무,summary,2026-02-06
데미안: 헤르만 헤세,,,ildangbaek,2026-02-06
,I_Am_a_Cat: Natsume Soseki,,ildangbaek,2026-02-07
,The Brothers Karamazov,Fyodor Dostoevsky,summary,2026-02-07
나는 고양이로소이다: 나쓰메 소세키,,,ildangbaek,2026-02-07
까르마조프가의 형제들,,도스토옙스키,summary,2026-02-07
,The Midnight Library,Matt Haig,summary,2026-02-08
,Jin Ping Mei: Lanling Xiaoxiaosheng,,ildangbaek,2026-02-08
미드나잇 라이브러리,,매트 헤이그,summary,2026-02-08
금병매: 난릉 소소생,,,ildangbaek,2026-02-08
목민심서: 정약용,,,ildangbaek,2026-02-09
,Mokminsimseo: Jeong Yak-yong,,ildangbaek,2026-02-09
,Moby-Dick: Herman Melville,,ildangbaek,2026-02-10
세상에 마음 주지 마라,,웨인 다이어,summary,2026-02-10
모비딕: 허먼 멜빌,,,ildangbaek,2026-02-10
,The Shift,Wayne Dyer,summary,2026-02-10
,World Short Stories,The Happy Prince & More,summary,2026-02-11
,Aphorisms on the Wisdom of Life,Arthur Schopenhauer,summary,2026-02-11
세계의 단편,,"귀여운 여인, 행복한 왕자 外",summary,2026-02-11
쇼펜하우어의 아포리즘,,아르투어 쇼펜하우어,summary,2026-02-11
이처럼 사소한 것들,,클레어 키건,summary,2026-02-12
한국의 단편: 현진건·이태준·황순원·김승옥·황석영 외,,,ildangbaek,2026-02-12
,Small Things Like These,Claire Keegan,summary,2026-02-12
종의 기원,,정유정,summary,2026-02-13
,The Good Son,Jeong You-jeong,summary,2026-02-13
사피엔스의 미래,,,ildangbaek,2026-02-13
,Future of Sapiens,,ildangbaek,2026-02-13
,The Geography of Thought,,ildangbaek,2026-02-14
,Project Hail Mary,Andy Weir,summary,2026-02-14
프로젝트 헤일메리,,앤디 위어,summary,2026-02-14
생각의 지도,,,ildangbaek,2026-02-14
"살아남은 자의 슬픔, 억척어멈과 그 자식들: 베르톨트 브레히트",,,ildangbaek,2026-02-15
,The Smiling Proud Wanderer: Jin Yong,,ildangbaek,2026-02-16
소호강호: 김용,,,ildangbaek,2026-02-16
,Principles,Ray Dalio,summary,2026-02-17
,The Korean War: Bruce Cumings,,ildangbaek,2026-02-17
한국전쟁: 브루스 커밍스,,,ildangbaek,2026-02-17
,Yonehara Mari Essays: Yonehara Mari,,ildangbaek,2026-02-18
요네하라 마리 에세이집: 요네하라 마리,,,ildangbaek,2026-02-18
신부님 우리들의 신부님: 조반니 과레스키,,,ildangbaek,2026-02-20
,Don Camillo: Giovanni Guareschi,,ildangbaek,2026-02-20
파우스트: 괴테,,,ildangbaek,2026-02-21
,Faust: Johann Wolfgang von Goethe,,ildangbaek,2026-02-21
"한국의 수필: 피천득, 법정, 신영복",,,ildangbaek,2026-02-22
,"Korean Essays: Pi Chon-deuk, Beopjeong, Shin Yeong-bok",,ildangbaek,2026-02-22
,On the Origin of Species: Charles Darwin,,ildangbaek,2026-02-24
다윈의 종의 기원: 찰스 다윈,,,ildangbaek,2026-02-24
세이노의 가르침,,세이노,summary,2026-02-24
,Seinos Teachings,Seino,summary,2026-02-24
,Famous Korean Columnists,,ildangbaek,2026-02-24
한국의 명칼럼니스트,,,ildangbaek,2026-02-24
,The Chrysanthemum and the Sword: Ruth Benedict,,ildangbaek,2026-02-26
괴테는 모든 것을 말했다,,스즈키 유이,summary,2026-02-26
,Goethe Said It All,Yui Suzuki,summary,2026-02-26
국화와 칼: 루스 베네딕트,,,ildangbaek,2026-02-26
,One Hundred Years of Solitude: Gabriel García Márquez,,ildangbaek,2026-02-27
백년 동안의 고독: 가르시아 마르케스,,,ildangbaek,2026-02-27
삼미 슈퍼스타즈의 마지막 팬클럽: 박민규,,,ildangbaek,2026-02-28
,To Kill a Mockingbird,Harper Lee,summary,2026-02-28
To Kill a Mockingbird,,Harper Lee,summary,2026-02-28
,The Last Fan Club of Sammi Superstars: Park Min-kyu,,ildangbaek,2026-02-28
오만과 편견: 제인 오스틴,,,ildangbaek,2026-03-01
,Pride and Prejudice: Jane Austen,,ildangbaek,2026-03-01
불교의 성전 & 원시불교 연구,,,ildangbaek,2026-03-02
,The Interpretation of Dreams: Sigmund Freud,,ildangbaek,2026-03-04
꿈의 해석: 지그문트 프로이트,,,ildangbaek,2026-03-04
,Emile: Jean-Jacques Rousseau,,ildangbaek,2026-03-05
에밀: 루소,,,ildangbaek,2026-03-05
장자,,,ildangbaek,2026-03-06
,Zhuangzi,,ildangbaek,2026-03-06
,Korean Classic Tales,,ildangbaek,2026-03-07
춘향전 토끼전 심청전,,,ildangbaek,2026-03-07
복종: 미셸 우엘백,,,ildangbaek,2026-03-08
,Submission: Michel Houellebecq,,ildangbaek,2026-03-08
,The Seagull: Anton Chekhov,,ildangbaek,2026-03-09
갈매기: 안톤 체호프,,,ildangbaek,2026-03-09
어린왕자: 앙투안 드 생텍쥐페리,,,ildangbaek,2026-03-10
,The Little Prince: Antoine de Saint-Exupéry,,ildangbaek,2026-03-10
호밀밭의 파수꾼: J.D. 샐린저,,,ildangbaek,2026-03-11
,The Catcher in the Rye: J.D. Salinger,,ildangbaek,2026-03-11
사피엔스: 유발 하라리,,,ildangbaek,2026-03-12
,Sapiens: Yuval Noah Harari,,ildangbaek,2026-03-12
아메리칸 프로메테우스: 카이 버드,,,ildangbaek,2026-03-13
,American Prometheus: Kai Bird,,ildangbaek,2026-03-13
임사체험: 다치바나 다카시,,,ildangbaek,2026-03-14
,Near Death Experiences: Takashi Tachibana,,ildangbaek,2026-03-14
순교자: 김은국,,,ildangbaek,2026-03-15
,The Martyred: Richard E. Kim,,ildangbaek,2026-03-15
,Two Treatises of Government,,ildangbaek,2026-03-16
정부론,,,ildangbaek,2026-03-16
,Utopia,,ildangbaek,2026-03-17
유토피아,,,ildangbaek,2026-03-17
,Civilization and Capitalism,,ildangbaek,2026-03-18
물질문명과 자본주의,,,ildangbaek,2026-03-18
빅콘게임,,,ildangbaek,2026-03-19
,The Big Con,,ildangbaek,2026-03-19
,Ivan the Fool and Other Stories,,ildangbaek,2026-03-20
바보 이반등 단편선,,,ildangbaek,2026-03-20
세 죽음 이반 일리치의 죽음,,,ildangbaek,2026-03-21
,Three Deaths and The Death of Ivan Ilyich,,ildangbaek,2026-03-21
뜻으로 본 한국역사,,,ildangbaek,2026-03-22
,The Meaning of Korean History,,ildangbaek,2026-03-22
,Baekbeom Ilji,,ildangbaek,2026-03-23
백범일지,,,ildangbaek,2026-03-23
,In Praise of Idleness,,ildangbaek,2026-03-24
게으름에 대한 찬양,,,ildangbaek,2026-03-24
삶의 에세이,,,ildangbaek,2026-03-25
,Essays on Life,,ildangbaek,2026-03-25
,Orientalism,,ildangbaek,2026-03-26
오리엔탈리즘,,,ildangbaek,2026-03-26
,The Untold History of the United States: Oliver Stone,,ildangbaek,2026-03-28
아무도 말하지 않는 미국 현대사: 올리버 스톤,,,ildangbaek,2026-03-28
,Wisdom of the West: Bertrand Russell,,ildangbaek,2026-03-29
서양의 지혜: 버트런드 러셀,,,ildangbaek,2026-03-29
,The Metamorphosis: Franz Kafka,,ildangbaek,2026-03-30
변신: 프란츠 카프카,,,ildangbaek,2026-03-30
,Greek and Roman Mythology: Kang Dae-jin,,ildangbaek,2026-03-31
그리스 로마 신화: 강대진,,,ildangbaek,2026-03-31
,The Annals of the Joseon Dynasty: Sillokcheong,,ildangbaek,2026-04-01
,The Busan-Shimonoseki Ferry: Lee Byung-ju,,ildangbaek,2026-04-01
관부연락선: 이병주,,,ildangbaek,2026-04-01
조선왕조실록: 실록청,,,ildangbaek,2026-04-01
,Madame Bovary: Gustave Flaubert,,ildangbaek,2026-04-02
마담 보바리: 구스타브 플로베르,,,ildangbaek,2026-04-02
,Modern Korean Poetry: Seo Jeong-ju / Park No-hae,,ildangbaek,2026-04-04
한국 현대시: 서정주/박노해,,,ildangbaek,2026-04-04
,Tilting,Youngha Kim,summary,2026-04-04
틸팅,,김영하,summary,2026-04-04
,Records of the Grand Historian: Sima Qian,,ildangbaek,2026-04-05
사마천의 사기,,,ildangbaek,2026-04-05
,The White Book,Han Kang,summary,2026-04-05
흰,,한강,summary,2026-04-05
,Zorba the Greek,,ildangbaek,2026-04-06
그리스인 조르바,,,ildangbaek,2026-04-06
,The Killer's Memorandum,Youngha Kim,summary,2026-04-06
살인자의 기억법,,김영하,summary,2026-04-06
,Aesop's Fables,,ildangbaek,2026-04-07
이솝우화,,,ildangbaek,2026-04-07
,The Pipe Stories,Woody Allen,summary,2026-04-07
파이프 이야기,,우디 앨런,summary,2026-04-07
,Discipline and Punish,,ildangbaek,2026-04-08
감시와 처벌,,,ildangbaek,2026-04-08
,The Book of Love,Neil Gaiman,summary,2026-04-08
북 오브 러브,,닐 게이먼,summary,2026-04-08
,The Power of Contemplation,,ildangbaek,2026-04-09
고민하는 힘,,,ildangbaek,2026-04-09
,The Regime of Permanent Defeat,,ildangbaek,2026-04-10
영속패전론,,,ildangbaek,2026-04-10
,Wings and Crow's Eye View,,ildangbaek,2026-04-11
날개 오감도,,,ildangbaek,2026-04-11
,The Man Standing Next,,ildangbaek,2026-04-12
남산의 부장들,,,ildangbaek,2026-04-12
,Plagues That Changed History,,ildangbaek,2026-04-13
세계사를 바꾼 전염병들,,,ildangbaek,2026-04-13
참을 수 없는 존재의 가벼움: 밀란 쿤데라,,,ildangbaek,2026-04-14
,The Unbearable Lightness of Being: Milan Kundera,,ildangbaek,2026-04-14
,The Origin of Religion: Sigmund Freud,,ildangbaek,2026-04-15
프로이트 종교의 기원: 지크문트 프로이트,,,ildangbaek,2026-04-15
,Lady Chatterley's Lover: D.H. Lawrence,,ildangbaek,2026-04-16
채털리 부인의 연인: D. H. 로렌스,,,ildangbaek,2026-04-16
,The Plague: Albert Camus,,ildangbaek,2026-04-17
,Ulleungdo Odyssey,,ildangbaek,2026-04-18
울릉도 오딧세이,,,ildangbaek,2026-04-18
아주 작은 습관의 힘,,제임스 클리어,summary,2026-04-18
음식문화의 수수께끼,,,ildangbaek,2026-04-19
,Good to Eat,,ildangbaek,2026-04-19
,The Selfish Gene,Richard Dawkins,summary,2026-04-19
이기적 유전자,,리처드 도킨스,summary,2026-04-19
,Metamorphoses,,ildangbaek,2026-04-20
변신 이야기,,,ildangbaek,2026-04-20
생각에 관한 생각,,다니엘 카너먼,summary,2026-04-20
소용돌이의 한국정치,,,ildangbaek,2026-04-24
분노의 포도,,,ildangbaek,2026-04-27
기나긴 이별,,,ildangbaek,2026-05-01
조직의 성쇠,,,ildangbaek,2026-05-04
오즈의 마법사,,,ildangbaek,2026-05-08
한국의 베스트셀러,,,ildangbaek,2026-05-11
소년이 온다,,한강,ildangbaek,2026-08-11
곰브리치 세계사,,에른스트 곰브리치,ildangbaek,2026-08-12
왜 칸트인가,,김상환,ildangbaek,2026-08-12
중국 이야기,,헨리 키신저,ildangbaek,2026-08-12
털없는 원숭이,,데즈먼드 모리스,ildangbaek,2026-08-14
사랑의 학교,Cuore,에드몬도 데 아미치스,ildangbaek,2026-08-14
위버멘쉬,Ubermensch,프리드리히 니체,summary,2026-08-16
